ID_code,target,count
test_0,0,0.133262
test_1,0,0.12566656
test_2,0,0.06972751
test_3,0,0.14648612
test_4,0,0.2281194
test_5,0,0.013211297
test_6,0,0.0035870466
test_7,0,0.12753262
test_8,0,0.012846714
test_9,0,0.019699981
test_10,0,0.12314528
test_11,0,0.111782596
test_12,0,0.19606413
test_13,0,0.057100195
test_14,0,0.0027935663
test_15,0,0.0842444
test_16,0,0.66061175
test_17,0,0.045087665
test_18,0,0.08519639
test_19,0,0.023719935
test_20,0,0.06651743
test_21,0,0.05811866
test_22,0,0.03388335
test_23,0,0.069187075
test_24,0,0.0625539
test_25,0,0.070607156
test_26,0,0.08530175
test_27,0,0.009180494
test_28,0,0.10273746
test_29,0,0.09502986
test_30,0,0.14278235
test_31,0,0.06493493
test_32,0,0.662637
test_33,0,0.09248098
test_34,0,0.0077998643
test_35,0,0.03020675
test_36,0,0.005572855
test_37,0,0.032316796
test_38,0,0.016198074
test_39,0,0.008404664
test_40,0,0.027205298
test_41,0,0.03191163
test_42,0,0.043281596
test_43,0,0.009432774
test_44,0,0.017818777
test_45,0,0.074352615
test_46,0,0.043220885
test_47,0,0.10920554
test_48,0,0.024033427
test_49,0,0.051140077
test_50,0,0.057961263
test_51,0,0.1393619
test_52,0,0.010342322
test_53,0,0.0063963737
test_54,0,0.04112463
test_55,0,0.292034
test_56,0,0.102582924
test_57,0,0.010620867
test_58,0,0.04873793
test_59,0,0.06995689
test_60,0,0.03723906
test_61,0,0.040298536
test_62,0,0.30868497
test_63,0,0.045675375
test_64,0,0.013853428
test_65,0,0.07689558
test_66,0,0.026966188
test_67,0,0.08615978
test_68,0,0.00624235
test_69,0,0.01495059
test_70,0,0.04725915
test_71,0,0.14535262
test_72,0,0.22377777
test_73,0,0.28224954
test_74,0,0.022493023
test_75,0,0.01281103
test_76,0,0.016291125
test_77,0,0.05300352
test_78,0,0.0069657178
test_79,0,0.03203854
test_80,0,0.09280201
test_81,0,0.018396823
test_82,0,0.29645976
test_83,0,0.03951169
test_84,0,0.50516474
test_85,0,0.049132746
test_86,0,0.07822402
test_87,0,0.24351881
test_88,0,0.12318183
test_89,0,0.023336977
test_90,0,0.23868124
test_91,0,0.02088086
test_92,0,0.013652281
test_93,0,0.21462193
test_94,0,0.013807033
test_95,0,0.2213698
test_96,0,0.015478566
test_97,0,0.019766854
test_98,0,0.044515315
test_99,0,0.011674202
test_100,0,0.0040920475
test_101,0,0.0031978711
test_102,0,0.014352867
