ID_code,target
test_0,0.14553581
test_1,0.29327714
test_2,0.032270808
test_3,0.20264958
test_4,0.07560741
test_5,0.0108043635
test_6,0.005291723
test_7,0.24492516
test_8,0.010304809
test_9,0.028534997
test_10,0.10857722
test_11,0.14872874
test_12,0.10327043
test_13,0.050042313
test_14,0.0047431784
test_15,0.042605642
test_16,0.20263498
test_17,0.033975687
test_18,0.07059043
test_19,0.01631513
test_20,0.12098225
test_21,0.055400033
test_22,0.034989685
test_23,0.03946429
test_24,0.10409153
test_25,0.033074826
test_26,0.057175655
test_27,0.0142788
test_28,0.23261194
test_29,0.1462164
test_30,0.110576
test_31,0.034763765
test_32,0.46390206
test_33,0.06068309
test_34,0.004280953
test_35,0.015906615
test_36,0.010034367
test_37,0.026479108
test_38,0.019193437
test_39,0.014279511
test_40,0.056579664
test_41,0.023523185
test_42,0.022516925
test_43,0.011975274
test_44,0.0483372
test_45,0.04354377
test_46,0.035976946
test_47,0.047235075
test_48,0.024038099
test_49,0.030480443
test_50,0.04234546
test_51,0.0930125
test_52,0.00927965
test_53,0.013662412
test_54,0.022609325
test_55,0.12679231
test_56,0.11037155
test_57,0.007576746
test_58,0.039516643
test_59,0.045882307
test_60,0.047873136
test_61,0.022662457
test_62,0.15226313
test_63,0.052982796
test_64,0.017025681
test_65,0.038607463
test_66,0.038251054
test_67,0.05280064
test_68,0.0064512035
test_69,0.009708078
test_70,0.051410124
test_71,0.13626698
test_72,0.14821722
test_73,0.32135293
test_74,0.020129766
test_75,0.020829123
test_76,0.012501826
test_77,0.03605183
test_78,0.0044439128
test_79,0.03853111
test_80,0.1946586
test_81,0.014521542
test_82,0.20746948
test_83,0.042243823
test_84,0.44214517
test_85,0.039314438
test_86,0.1426633
test_87,0.34365654
test_88,0.038500264
test_89,0.020202758
test_90,0.13506967
test_91,0.022124853
test_92,0.011965399
test_93,0.16913325
test_94,0.025860101
test_95,0.3027641
test_96,0.011349911
test_97,0.022364657
test_98,0.0673651
test_99,0.0070019946
test_100,0.008742371
test_101,0.0039176606
test_102,0.00783079
test_103,0.0468638
test_104,0.01847544
test_105,0.06937012
test_106,0.032187358
test_107,0.012489764
test_108,0.065205365
test_109,0.074347526
test_110,0.14076056
test_111,0.0699087
test_112,0.03294093
test_113,0.028754722
test_114,0.0041002664
test_115,0.122461386
test_116,0.02794326
test_117,0.063173786
test_118,0.029267194
test_119,0.0047076973
test_120,0.01444211
test_121,0.52356833
test_122,0.005028252
test_123,0.03743302
test_124,0.026343957
test_125,0.08195528
test_126,0.056319043
test_127,0.02481471
test_128,0.08215542
test_129,0.031203551
test_130,0.026323413
test_131,0.14879256
test_132,0.077111274
test_133,0.015304234
test_134,0.011793276
test_135,0.007691941
test_136,0.18019155
test_137,0.106382184
test_138,0.43246263
test_139,0.036327597
test_140,0.028360445
test_141,0.090002306
test_142,0.16164912
test_143,0.008292058
test_144,0.04377464
test_145,0.05729441
test_146,0.008329549
test_147,0.007040362
test_148,0.110768445
test_149,0.009781049
test_150,0.011693049
test_151,0.077170044
test_152,0.0389671
test_153,0.100234315
test_154,0.19807571
test_155,0.05828755
test_156,0.030454323
test_157,0.02363829
test_158,0.00500624
test_159,0.043882325
test_160,0.021011446
test_161,0.26142454
test_162,0.17697254
test_163,0.022828365
test_164,0.44030815
test_165,0.020827958
test_166,0.06901482
test_167,0.06995607
test_168,0.011205673
test_169,0.02032113
test_170,0.02109677
test_171,0.25829893
test_172,0.060915634
test_173,0.0863025
test_174,0.030592378
test_175,0.026648916
test_176,0.2354015
test_177,0.0647548
test_178,0.018869042
test_179,0.04483593
test_180,0.0013603593
test_181,0.031925753
test_182,0.13638735
test_183,0.04256237
test_184,0.060328007
test_185,0.011282972
test_186,0.0066524525
test_187,0.03982438
test_188,0.0042343084
test_189,0.03895072
test_190,0.34487793
test_191,0.010622245
test_192,0.13358627
test_193,0.03751881
test_194,0.005567512
test_195,0.032400865
test_196,0.03231328
test_197,0.028460829
test_198,0.0051747086
test_199,0.21312885
test_200,0.033737827
test_201,0.1557181
test_202,0.029788954
test_203,0.07084395
test_204,0.013395697
test_205,0.05938166
test_206,0.1878878
test_207,0.0036608586
test_208,0.0320421
test_209,0.04500793
test_210,0.013928734
test_211,0.0632006
test_212,0.08769468
test_213,0.03282618
test_214,0.038623467
test_215,0.30987
test_216,0.032089543
test_217,0.7225565
test_218,0.071596794
test_219,0.032770474
test_220,0.06543781
test_221,0.0051648743
test_222,0.06934802
test_223,0.0769013
test_224,0.0098739285
test_225,0.021650953
test_226,0.03799331
test_227,0.007958877
test_228,0.07065106
test_229,0.009832758
test_230,0.15951264
test_231,0.09079869
test_232,0.029308122
test_233,0.120557465
test_234,0.027241241
test_235,0.020800883
test_236,0.062813945
test_237,0.017917125
test_238,0.004939342
test_239,0.12816958
test_240,0.0837695
test_241,0.13541423
test_242,0.013932664
test_243,0.010062501
test_244,0.0039660884
test_245,0.012015195
test_246,0.050775044
test_247,0.009389347
test_248,0.029590635
test_249,0.1974452
test_250,0.055448793
test_251,0.01845536
test_252,0.018136239
test_253,0.069191426
test_254,0.013512685
test_255,0.16272771
test_256,0.05902496
test_257,0.003597742
test_258,0.07382246
test_259,0.022960693
test_260,0.03257974
test_261,0.4365644
test_262,0.016389098
test_263,0.10117828
test_264,0.15497059
test_265,0.44802353
test_266,0.03805739
test_267,0.15000188
test_268,0.01614778
test_269,0.0666048
test_270,0.128163
test_271,0.1429388
test_272,0.0350179
test_273,0.11854337
test_274,0.019407537
test_275,0.018737612
test_276,0.13432425
test_277,0.0068362034
test_278,0.024870478
test_279,0.02842321
test_280,0.0034864494
test_281,0.013322283
test_282,0.082169175
test_283,0.01615275
test_284,0.34454972
test_285,0.074809454
test_286,0.006656856
test_287,0.02227881
test_288,0.3625127
test_289,0.040600628
test_290,0.09794851
test_291,0.04205426
test_292,0.15878025
test_293,0.010514467
test_294,0.02931029
test_295,0.0120410165
test_296,0.07509072
test_297,0.158512
test_298,0.004737347
test_299,0.071343035
test_300,0.07774836
test_301,0.016169485
test_302,0.16285388
test_303,0.023071928
test_304,0.05290612
test_305,0.14248861
test_306,0.06758553
test_307,0.10307077
test_308,0.022197329
test_309,0.06233704
test_310,0.022905277
test_311,0.0061724866
test_312,0.12685005
test_313,0.06884849
test_314,0.036631178
test_315,0.102005616
test_316,0.031579472
test_317,0.4096963
test_318,0.015986228
test_319,0.019374847
test_320,0.011709195
test_321,0.060278453
test_322,0.112477615
test_323,0.11894786
test_324,0.016425788
test_325,0.067570835
test_326,0.0047040437
test_327,0.03215588
test_328,0.01822661
test_329,0.10066384
test_330,0.004998107
test_331,0.031234099
test_332,0.12371696
test_333,0.029374128
test_334,0.04237899
test_335,0.029524975
test_336,0.05042136
